sensor,short_name,version,level,format,daac,s3_bucket,s3_region,instrument,granules,time_begin,time_end,entry_title
ICESat-2/ATLAS,ATL03,007,L2A,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL03/007,us-west-2,ICESat-2/ATLAS,583529,2018-10-13,present,ATLAS/ICESat-2 L2A Global Geolocated Photon Data V007
ICESat-2/ATLAS,ATL06,007,L3,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL06/007,us-west-2,ICESat-2/ATLAS,438157,2018-10-14,present,ATLAS/ICESat-2 L3A Land Ice Height V007
ICESat-2/ATLAS,ATL11,007,L3,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL11/007,us-west-2,ICESat-2/ATLAS,8105,2019-03-29,present,ATLAS/ICESat-2 L3B Slope-Corrected Land Ice Height Time Series V007
ICESat-2/ATLAS,ATL15,006,L3,netCDF-4,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL15/006,us-west-2,ICESat-2/ATLAS,48,2019-01-01,present,ATLAS/ICESat-2 L3B Gridded Antarctic and Arctic Land Ice Height Change V006
Terra/MODIS,MOD10A1,61,L3,HDF-EOS2,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/MODIS/MOD10A1/61,us-west-2,Terra/MODIS,2927249,2000-02-24,present,MODIS/Terra Snow Cover Daily L3 Global 500m SIN Grid V061
SMAP/L-band radiometer,SPL3SMP,009,L3,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/SMAP/SPL3SMP/009,us-west-2,SMAP/SMAP L-BAND RADIOMETER,4109,2015-03-31,present,SMAP L3 Radiometer Global Daily 36 km EASE-Grid Soil Moisture V009
SMAP/L-band radiometer,SPL4SMGP,008,L4,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/SMAP/SPL4SMGP/008,us-west-2,"GEOS-5/NOT APPLICABLE,SMAP/SMAP L-BAND RADIOMETER",33536,2015-03-31,present,SMAP L4 Global 3-hourly 9 km EASE-Grid Surface and Root Zone Soil Moisture Geophysical Data V008
SMAP/L-band radiometer,SPL2SMP_E,006,L2,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/SMAP/SPL2SMP_E/006,us-west-2,SMAP/SMAP L-BAND RADIOMETER,120110,2015-03-31,present,SMAP Enhanced L2 Radiometer Half-Orbit 9 km EASE-Grid Soil Moisture V006
SMAP/L-band radiometer,SPL4CMDL,008,L4,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/SMAP/SPL4CMDL/008,us-west-2,"Aqua/MODIS,GEOS-5/NOT APPLICABLE,L4_C/NOT APPLICABLE,SMAP/SMAP L-BAND RADIOMETER,Suomi-NPP/VIIRS,Terra/MODIS",4186,2015-03-31,present,SMAP L4 Global Daily 9 km EASE-Grid Carbon Net Ecosystem Exchange V008
multi-sensor (ITS_LIVE),NSIDC-0776,2,L3,netCDF-4,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/MEASURES/NSIDC-0776/2,us-west-2,"LANDSAT-4/TM,LANDSAT-5/TM,LANDSAT-7/ETM+,LANDSAT-8/OLI,LANDSAT-9/OLI-2,Sentinel-1A/C-SAR,Sentinel-1B/C-SAR,Sentinel-2A/Sentinel-2 MSI,Sentinel-2B/Sentinel-2 MSI",546,1984-01-01,2022-12-31,MEaSUREs ITS_LIVE Regional Glacier and Ice Sheet Surface Velocities V002
ICESat-2/ATLAS,ATL08,007,L3,HDF5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL08/007,us-west-2,ICESat-2/ATLAS,430404,2018-10-14,present,ATLAS/ICESat-2 L3A Land and Vegetation Height V007
ICESat-2/ATLAS,ATL14,006,L3,netCDF-4,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/ATLAS/ATL14/006,us-west-2,ICESat-2/ATLAS,6,2019-01-01,present,ATLAS/ICESat-2 L3B Gridded Antarctic and Arctic Land Ice Height V006
GCOM-W1/AMSR2,AU_SI12,1,L3,ASCII+HDF-EOS5,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/AMSA/AU_SI12/1,us-west-2,"Aqua/AMSR-E,GCOM-W1/AMSR2",8177,2002-06-01,2011-10-04,"AMSR-E/AMSR2 Unified L3 Daily 12.5 km Brightness Temperatures, Sea Ice Concentration, Motion & Snow Depth Polar Grids V001"
multi-sensor (passive microwave),NSIDC-0051,2,L3,PNG+netCDF-4,NASA NSIDC DAAC,nsidc-cumulus-prod-protected/PM/NSIDC-0051/2,us-west-2,"DMSP 5D-2/F11/SSM/I,DMSP 5D-2/F13/SSM/I,DMSP 5D-2/F8/SSM/I,DMSP 5D-3/F17/SSMIS,Nimbus-7/SMMR",35600,1978-10-26,2025-12-31,Sea Ice Concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS Passive Microwave Data V002
Terra/MODIS,MOD09GA,061,L2G,HDF-EOS2,LP DAAC,s3://lp-prod-protected/MOD09GA.061,us-west-2,Terra/MODIS,3071812,2000-02-24,present,MODIS/Terra Surface Reflectance Daily L2G Global 1km and 500m SIN Grid V061
Terra+Aqua/MODIS,MCD43A3,061,L3,HDF-EOS2,LP DAAC,s3://lp-prod-protected/MCD43A3.061,us-west-2,"Terra/MODIS,Aqua/MODIS",2981668,2000-02-16,present,MODIS/Terra+Aqua BRDF/Albedo Albedo Daily L3 Global - 500m V061
Terra/MODIS,MOD11A1,061,L3,HDF-EOS2,LP DAAC,s3://lp-prod-protected/MOD11A1.061,us-west-2,Terra/MODIS,3044695,2000-02-24,present,MODIS/Terra Land Surface Temperature/Emissivity Daily L3 Global 1km SIN Grid V061
Terra/MODIS,MOD13Q1,061,L3,HDF-EOS2,LP DAAC,s3://lp-prod-protected/MOD13Q1.061,us-west-2,Terra/MODIS,177776,2000-02-18,present,MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid V061
Suomi-NPP/VIIRS,VNP09GA,002,L2G,HDF-EOS5,LP DAAC,s3://lp-prod-protected/VNP09GA.002,us-west-2,Suomi-NPP/VIIRS,1999495,2012-01-17,present,VIIRS/NPP Surface Reflectance Daily L2G Global 1km and 500m SIN Grid V002
Landsat 8-9/OLI,HLSL30,2.0,L3,COG,LP DAAC,s3://lp-prod-protected/HLSL30.020,us-west-2,"LANDSAT-8/OLI,LANDSAT-9/OLI",16038148,2013-04-11,present,HLS Landsat Operational Land Imager Surface Reflectance and TOA Brightness Daily Global 30m v2.0
Sentinel-2/MSI,HLSS30,2.0,L3,COG,LP DAAC,s3://lp-prod-protected/HLSS30.020,us-west-2,"Sentinel-2A/Sentinel-2 MSI,Sentinel-2B/Sentinel-2 MSI,Sentinel-2C/Sentinel-2 MSI",21964203,2015-11-28,present,HLS Sentinel-2 Multi-spectral Instrument Surface Reflectance Daily Global 30m v2.0
ISS/EMIT,EMITL2ARFL,002,L2A,netCDF-4,LP DAAC,s3://lp-prod-protected/EMITL2ARFL.002,us-west-2,ISS/EMIT Imaging Spectrometer,11155,2022-08-09,present,EMIT L2A Surface Reflectance and Uncertainty 60 m V002
ISS/EMIT,EMITL1BRAD,002,L1B,netCDF-4,LP DAAC,s3://lp-prod-protected/EMITL1BRAD.002,us-west-2,ISS/EMIT Imaging Spectrometer,12208,2022-08-09,present,EMIT L1B At-Sensor Calibrated Radiance and Geolocation Data 60 m V002
ISS/GEDI,GEDI02_A,003,L2A,HDF5,LP DAAC,s3://lp-protected/GEDI02_A.003,us-west-2,ISS/GEDI,96864,2019-04-04,present,GEDI L2A Elevation and Height Metrics Data Global Footprint Level V003
ISS/GEDI,GEDI02_B,003,L2B,HDF5,LP DAAC,s3://lp-protected/GEDI02_B.003,us-west-2,ISS/GEDI,96872,2019-04-04,present,GEDI L2B Canopy Cover and Vertical Profile Metrics Data Global Footprint Level V003
Shuttle/SRTM,SRTMGL1,003,L3,HGT,LP DAAC,s3://lp-prod-protected/SRTMGL1.003,us-west-2,STS-99/SRTM,14297,2000-02-11,2000-02-21,NASA Shuttle Radar Topography Mission Global 1 arc second V003
ISS/ECOSTRESS,ECO_L2T_LSTE,003,L2,COG,LP DAAC,s3://lp-prod-protected/ECO_L2T_LSTE.003,us-west-2,ISS/ECOSTRESS,3936594,2018-07-09,present,ECOSTRESS Tiled Land Surface Temperature and Emissivity Instantaneous L2 Global 70 m V003
Terra+Aqua/MODIS,MCD12Q1,061,L3,HDF-EOS2,LP DAAC,s3://lp-prod-protected/MCD12Q1.061,us-west-2,"Terra/MODIS,Aqua/MODIS",7560,2001-01-01,present,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 500m SIN Grid V061
Suomi-NPP/VIIRS,VNP13A1,002,L3,HDF-EOS5,LP DAAC,s3://lp-prod-protected/VNP13A1.002,us-west-2,Suomi-NPP/VIIRS,191413,2012-01-17,present,VIIRS/NPP Vegetation Indices 16-Day L3 Global 500m SIN Grid V002
Terra/ASTER,AST_L1T,004,L1T,COG,LP DAAC,s3://lp-prod-protected/AST_L1T.004,us-west-2,Terra/ASTER,4866926,2000-03-04,present,ASTER Level 1T Precision Terrain Corrected Registered At-Sensor Radiance V004
GPM/DPR+GMI,GPM_3IMERGHH,07,L3,HDF5,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/GPM_L3/GPM_3IMERGHH.07/,us-west-2,IMERG/NOT APPLICABLE,486480,1998-01-01,2025-09-30,GPM IMERG Final Precipitation L3 Half Hourly 0.1 degree x 0.1 degree V07 (GPM_3IMERGHH)
GPM/DPR+GMI,GPM_3IMERGDF,07,L3,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/GPM_L3/GPM_3IMERGDF.07/,us-west-2,IMERG/NOT APPLICABLE,10135,1998-01-01,2025-09-30,GPM IMERG Final Precipitation L3 1 day 0.1 degree x 0.1 degree V07 (GPM_3IMERGDF)
GPM/DPR,GPM_2ADPR,08,L2,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/GPM_L2/GPM_2ADPR.08/,us-west-2,GPM/DPR,70448,2014-03-08,present,GPM DPR Precipitation Profile L2A 1.5 hours 5 km V08 (GPM_2ADPR)
MERRA-2 (model),M2T1NXSLV,5.12.4,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/MERRA2/M2T1NXSLV.5.12.4/,us-west-2,MERRA-2/NOT APPLICABLE,17015,1980-01-01,present,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) "
MERRA-2 (model),M2I3NPASM,5.12.4,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/MERRA2/M2I3NPASM.5.12.4/,us-west-2,MERRA-2/NOT APPLICABLE,17015,1980-01-01,present,"MERRA-2 inst3_3d_asm_Np: 3d,3-Hourly,Instantaneous,Pressure-Level,Assimilation,Assimilated Meteorological Fields 0.625 x 0.5 degree V5.12.4 (M2I3NPASM)"
Aqua/AIRS,AIRS2RET,7.0,L2,HDF-EOS,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/Aqua_AIRS_Level2/AIRS2RET.7.0/,us-west-2,Aqua/AIRS,2072895,2002-08-30,present,Aqua/AIRS L2 Standard Physical Retrieval (AIRS-only) V7.0
Aura/OMI,OMDOAO3,004,L2,netCDF-4,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/Aura_OMI_Level2/OMDOAO3.004/,us-west-2,Aura/OMI,113361,2004-10-01,present,OMI/Aura DOAS Total Column Ozone 1-Orbit L2 Swath 13x24 km V004 (OMDOAO3) 
NLDAS (model),NLDAS_FORA0125_H,2.0,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/NLDAS/NLDAS_FORA0125_H.2.0/,us-west-2,Forcing-LSM/NOT APPLICABLE,418272,1979-01-01,present,NLDAS Primary Forcing Data L4 Hourly 0.125 x 0.125 degree V2.0 (NLDAS_FORA0125_H) 
GLDAS (model),GLDAS_NOAH025_3H,2.1,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/GLDAS/GLDAS_NOAH025_3H.2.1/,us-west-2,Noah-LSM/NOT APPLICABLE,77423,2000-01-01,present,GLDAS Noah Land Surface Model L4 3 hourly 0.25 x 0.25 degree V2.1 (GLDAS_NOAH025_3H)
OCO-2,OCO2_L2_Lite_FP,11.3r,L2,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/OCO2_DATA/OCO2_L2_Lite_FP.11.3r/,us-west-2,OCO-2/OCO-2,921,2014-06-01,present,"OCO-2 Level 2 bias-corrected XCO2 and other select fields from the full-physics retrieval aggregated as daily files, Retrospective processing V11.3r (OCO2_L2_Lite_FP) "
Aqua/AIRS,AIRS3STD,7.0,L3,HDF-EOS,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/Aqua_AIRS_Level3/AIRS3STD.7.0/,us-west-2,Aqua/AIRS,8706,2002-08-31,present,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V7.0
Suomi-NPP/OMPS,OMPS_NPP_NMTO3_L3_DAILY,2,L3,HDF5,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/SNPP_OMPS_Level3/OMPS_NPP_NMTO3_L3_DAILY.2/,us-west-2,Suomi-NPP/OMPS,5085,2012-01-25,present,OMPS-NPP L3 NM Ozone (O3) Total Column 1.0 deg grid daily V2
Aura/MLS,ML2O3_NRT,005,L2,HDF-EOS5,NASA/GSFC/SED/ESD/TISL/GESDISC,s3://gesdisc-cumulus-prod-protected/Aura_MLS_NRT/ML2O3_NRT.005/,us-west-2,Aura/MLS,630,2021-09-21,present,MLS/Aura Near-Real-Time L2 Ozone (O3) Mixing Ratio V005 (ML2O3_NRT) 
multi-sensor (MUR SST),MUR-JPL-L4-GLOB-v4.1,4.1,L4,netCDF-4,NASA/JPL/PODAAC,podaac-ops-cumulus-public/MUR-JPL-L4-GLOB-v4.1/,us-west-2,"Aqua/MODIS,Aqua/AMSR-E,CORIOLIS/WINDSAT,Terra/MODIS,NOAA-19/AVHRR-3,GCOM-W1/AMSR2,BUOYS/DRIFTING BUOYS",8878,2002-05-31,,GHRSST Level 4 MUR Global Foundation Sea Surface Temperature Analysis (v4.1)
SWOT/KaRIn,SWOT_L2_LR_SSH_2.0,2.0,L2,netCDF-4,NASA/JPL/PODAAC,podaac-swot-ops-cumulus-protected/SWOT_L2_LR_SSH_2.0/,us-west-2,"SWOT/KaRIn,SWOT/Jason-class Altimeter,SWOT/AMR,SWOT/DORIS,SWOT/GPSP,SWOT/LRA",90959,2022-12-16,,"SWOT Level 2 KaRIn Low Rate Sea Surface Height Data Product, Version C"
