grade,sensor,short_name,level,format,daac,s3_region,consolidated_md,grid_aligned,chunk_aligned,time_dim,chunk_shape,chunk_mb,n_granules,volume_tb,dmrpp,blocker,chunk_shape_stable,concat_ok,cf_stable,headline_var,n_data_vars,n_comparable_vars,chunk_evidence,concat_evidence,md_evidence,grid_evidence,size_evidence,time_evidence,sample_differs,pinned_to,difference_kept_because,orbit_dirs,n_probed,n_attempted,n_sampled,unopened
A,AVHRR,AVHRR_OI-NCEI-L4-GLOB-v2.1,L4,netCDF-4,NASA/JPL/PODAAC,us-west-2,yes,yes,yes,yes,1×720×1440,0.67,3915,0.004,yes,no blocker,yes,yes,yes,analysed_sst,4,4,one chunk shape per variable across 4 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.25,analysed_sst: median stored chunk 0.67 MB in 1 chunks,"dimension ""time""",,,,,4,4,4,
A,GLDAS (model),GLDAS_NOAH025_3H,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,partial,yes,yes,yes,1×600×1440,0.453,77423,1.604,yes,no blocker,yes,yes,yes,Albedo_inst,36,36,one chunk shape per variable across 36 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 11 blocks in 1 runs, 52% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.25,Albedo_inst: median stored chunk 0.453 MB in 1 chunks,"dimension ""time""",,,,,4,4,4,
A,GPM/DPR+GMI,GPM_3IMERGDF,L3,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,partial,yes,yes,yes,1×3600×900,2.622,10135,0.303,yes,no blocker,yes,yes,yes,MWprecipitation,9,9,one chunk shape per variable across 9 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 4 blocks in 4 runs, 22% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.1,MWprecipitation: median stored chunk 2.622 MB in 2 chunks,"dimension ""time""",,,,,4,4,4,
A,GPM/DPR+GMI,GPM_3IMERGHH,L3,HDF5,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,partial,yes,yes,yes,1×145×1800,0.052,486480,3.851,yes,no blocker,yes,yes,yes,Grid/Intermediate/IRprecipitation,12,12,one chunk shape per variable across 12 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 6 blocks in 3 runs, 17% leading",identical grid across granules — measured Grid/lat/Grid/lon on 2 granules; step 0.099991,Grid/Intermediate/IRprecipitation: median stored chunk 0.052 MB in 25 chunks,"dimension ""grid/time""",,,,,4,4,4,
A,GRACE,TELLUS_GRAC_L3_JPL_RL06_LND_v04,L3,netCDF-4,NASA/JPL/PODAAC,us-west-2,yes,yes,yes,yes,1×180×360,0.518,163,0.0,yes,no blocker,yes,yes,yes,lwe_thickness,2,2,one chunk shape per variable across 2 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 2 blocks in 1 runs, 50% leading",identical grid across granules — measured lat/lon on 2 granules; step 1.0,lwe_thickness: median stored chunk 0.518 MB in 1 chunks,"dimension ""time""",,,,,4,4,4,
A,NLDAS (model),NLDAS_FORA0125_H,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,yes,yes,yes,yes,1×224×464,0.092,418259,0.738,yes,no blocker,yes,yes,yes,CAPE,11,11,one chunk shape per variable across 11 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 2 blocks in 1 runs, 50% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.125,CAPE: median stored chunk 0.092 MB in 1 chunks,"dimension ""time""",,,,,4,4,4,
A,multi-sensor (OSTIA),OSTIA-UKMO-L4-GLOB-REP-v2.0,L4,netCDF-4,NASA/JPL/PODAAC,us-west-2,yes,yes,yes,yes,1×1200×2400,1.229,15340,0.245,yes,no blocker,yes,yes,yes,analysed_sst,4,4,one chunk shape per variable across 4 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.049995,analysed_sst: median stored chunk 1.229 MB in 9 chunks,"dimension ""time""",,,,,4,4,4,
B,CERES,CERES_EBAF-TOA,L4,netCDF-3,NASA/LARC/SD/ASDC,us-west-2,—,yes,yes,yes,1×180×360,0.259,2,0.002,no,P-md: not measured (parser bypasses the instrumented reader),yes,yes,yes,cldarea_total_daynight_mon,68,68,one chunk shape per variable across 68 variables in 2 granules,varying axis lengths are whole multiples of the chunk,not measured (parser bypasses the instrumented reader),identical grid across granules — measured lat/lon on 2 granules; step 1.0,cldarea_total_daynight_mon: median stored chunk 0.259 MB in 316 chunks,"dimension ""time""",,,,,2,2,2,
B,Daymet (model),Daymet_Daily_V4R1_2129,L4,netCDF-4,ORNL_DAAC,us-west-2,partial,yes,yes,yes,1×231×364,0.026,1176,0.012,yes,P-sz: tmin: median stored chunk 0.026 MB in 365 chunks — latency-bound,yes,yes,yes,tmin,1,1,one chunk shape per variable across 1 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 4 blocks in 2 runs, 56% leading",identical grid across granules — measured x/y on 2 granules; step -1000.0,tmin: median stored chunk 0.026 MB in 365 chunks — latency-bound,"dimension ""time""",,"the Puerto Rico region, tmin variable",,,4,4,4,
B,ICESat-2/ATLAS,ATL15,L3,netCDF-4,NASA NSIDC DAAC,us-west-2,no,—,—,yes,44×112×132,0.963,80,0.008,no,"H2: no data array appears in two opened granules; H3: no data array appears in two opened granules; G: coordinates read for one granule only, so no cross-granule comparison — measured delta_h/x/delta_h/y/tile_stats/x/tile_stats/y on 1 granules; step 10000.0; P-md: median 29 blocks in 21 runs, 3% leading",—,—,—,delta_h/delta_h,48,0,no data array appears in two opened granules,no data array appears in two opened granules,"median 29 blocks in 21 runs, 3% leading","coordinates read for one granule only, so no cross-granule comparison — measured delta_h/x/delta_h/y/tile_stats/x/tile_stats/y on 1 granules; step 10000.0",delta_h/delta_h: median stored chunk 0.963 MB in 8 chunks,"dimension ""time""",,"region A1, monthly, 10 km",,,1,1,1,
B,ISS/ECOSTRESS,ECO_L2T_LSTE,L2,COG,LP DAAC,us-west-2,yes,yes,yes,no,512×512,0.002,3934771,7.611,no,T: file declares no dimension names; P-sz: band: median stored chunk 0.002 MB in 16 chunks — latency-bound,yes,yes,yes,band,1,1,one chunk shape per variable across 1 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading","one origin in EPSG:32641, 70 m pixel",band: median stored chunk 0.002 MB in 16 chunks — latency-bound,file declares no dimension names,,MGRS tile 41SPS,,,4,4,4,
B,ISS/EMIT,EMITL1BRAD,L1B,netCDF-4,LP DAAC,us-west-2,partial,no,—,no,1280×1242×11,69.949,8923,0.971,yes,"H2: chunk shape differs for smaller variables (2 of 4 variables — location/glt_x: [1890, 2062] vs [1890, 2070] vs [952, 1101] vs [951, 1105]); obs is stable, so a cube over it is available; T: no time dimension",partial,yes,yes,obs,4,4,"chunk shape differs for smaller variables (2 of 4 variables — location/glt_x: [1890, 2062] vs [1890, 2070] vs [952, 1101] vs [951, 1105]); obs is stable, so a cube over it is available",granule shapes identical; concatenates on a new or length-one axis,"median 5 blocks in 5 runs, 20% leading","swath geometry: granules agree on spatial_ref, which names a coordinate system without giving an origin or cell size",obs: median stored chunk 69.949 MB in 1 chunks,no time dimension,,,,,4,4,4,
B,ISS/EMIT,EMITL2ARFL,L2A,netCDF-4,LP DAAC,us-west-2,partial,no,—,no,1280×1242×285,1812.326,8755,16.43,yes,"H2: chunk shape differs for smaller variables (2 of 8 variables — location/glt_x: [1890, 2062] vs [1890, 2070] vs [952, 1101] vs [951, 1105]); reflectance is stable, so a cube over it is available; T: no time dimension",partial,yes,yes,reflectance,8,8,"chunk shape differs for smaller variables (2 of 8 variables — location/glt_x: [1890, 2062] vs [1890, 2070] vs [952, 1101] vs [951, 1105]); reflectance is stable, so a cube over it is available",granule shapes identical; concatenates on a new or length-one axis,"median 6 blocks in 5 runs, 82% leading","swath geometry: granules agree on spatial_ref, which names a coordinate system without giving an origin or cell size",reflectance: median stored chunk 1812.326 MB in 1 chunks,no time dimension,,,,,4,4,4,
B,ISS/GEDI,GEDI02_A,L2A,HDF5,LP DAAC,us-west-2,no,no,—,partial,596×13,0.0,96864,3.096,no,"H2: no data array appears in two opened granules; H3: no data array appears in two opened granules; T: time variable ""beam0000/delta_time"" but no time dimension; P-md: median 128 blocks in 22 runs, 7% leading; P-sz: BEAM0010/rh: median stored chunk 0.0 MB in 128 chunks — latency-bound",—,—,—,BEAM0010/rh,1684,0,no data array appears in two opened granules,no data array appears in two opened granules,"median 128 blocks in 22 runs, 7% leading","swath geometry: no projected grid, geolocation is a per-pixel array",BEAM0010/rh: median stored chunk 0.0 MB in 128 chunks — latency-bound,"time variable ""beam0000/delta_time"" but no time dimension","O01753, O37238, T01683, T09057",,"the orbit and track numbers index position along the record, not a partition",,1,2,4,chunk index could not be read within the probe budget — exceeded the 480 s probe budget for one granule; not attempted: an earlier granule exhausted the probe budget
B,Landsat 8-9/OLI,HLSL30,L3,COG,LP DAAC,us-west-2,yes,partial,yes,no,256×256,0.057,16032812,313.955,no,"G: 2 projections across 2 tile origins (EPSG:32659, ProjectionGeoKey:16059) — one grid per tile, each internally on a 30 m lattice; T: file declares no dimension names",yes,yes,yes,band,1,1,one chunk shape per variable across 1 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading","2 projections across 2 tile origins (EPSG:32659, ProjectionGeoKey:16059) — one grid per tile, each internally on a 30 m lattice",band: median stored chunk 0.057 MB in 225 chunks,file declares no dimension names,,MGRS tile T59WNT,,,4,4,4,
B,NISAR/L-SAR,NISAR_L2_GCOV_PROVISIONAL_V1,L2,CSV+HDF5+KML+PDF+PNG+XML+YAML,ASF,us-west-2,partial,yes,yes,partial,512×512,0.526,120156,849.191,no,"T: time variable ""science/lsar/gcov/metadata/attitude/time"" but no time dimension",yes,yes,yes,science/LSAR/GCOV/grids/frequencyA/HHHH,12,12,one chunk shape per variable across 12 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 7 blocks in 6 runs, 43% leading","shared grid attributes (false_easting,false_northing,grid_mapping,grid_mapping_name,inverse_flattening,latitude_of_projection_origin,longitude_of_central_meridian,semi_major_axis,spatial_ref)",science/LSAR/GCOV/grids/frequencyA/HHHH: median stored chunk 0.526 MB in 4556 chunks,"time variable ""science/lsar/gcov/metadata/attitude/time"" but no time dimension","F, N, P","track 004 ascending, frame 018, DHDH polarization","the mode and frame-coverage flags differ between acquisitions of one frame, which the fixed frame grid absorbs; the frame itself is pinned",,4,4,4,
B,NISAR/L-SAR,NISAR_L2_GSLC_PROVISIONAL_V1,L2,CSV+HDF5+KML+PDF+PNG+XML+YAML,ASF,us-west-2,partial,yes,yes,partial,512×512,1.003,119395,2655.13,no,"T: time variable ""science/lsar/gslc/metadata/attitude/time"" but no time dimension",yes,yes,yes,science/LSAR/GSLC/grids/frequencyA/HH,8,8,one chunk shape per variable across 8 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 9 blocks in 4 runs, 56% leading","shared grid attributes (false_easting,false_northing,grid_mapping,grid_mapping_name,inverse_flattening,latitude_of_projection_origin,longitude_of_central_meridian,semi_major_axis,spatial_ref)",science/LSAR/GSLC/grids/frequencyA/HH: median stored chunk 1.003 MB in 10725 chunks,"time variable ""science/lsar/gslc/metadata/attitude/time"" but no time dimension","F, N, P","track 004 ascending, frame 018, DHDH polarization","the mode and frame-coverage flags differ between acquisitions of one frame, which the fixed frame grid absorbs; the frame itself is pinned",,4,4,4,
B,NISAR/L-SAR,NISAR_L2_GUNW_PROVISIONAL_V1,L2,CSV+HDF5+KML+PDF+PNG+XML+YAML,ASF,us-west-2,partial,yes,yes,partial,512×512,0.009,66606,89.816,no,"T: time variable ""science/lsar/gunw/metadata/attitude/reference/time"" but no time dimension; P-sz: science/LSAR/GUNW/grids/frequencyA/wrappedInterferogram/HH/wrappedInterferogram: median stored chunk 0.009 MB in 1056 chunks — latency-bound",yes,yes,yes,science/LSAR/GUNW/grids/frequencyA/wrappedInterferogram/HH/wrappedInterferogram,13,13,one chunk shape per variable across 13 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 7 blocks in 7 runs, 29% leading","shared grid attributes (false_easting,false_northing,grid_mapping,grid_mapping_name,inverse_flattening,latitude_of_projection_origin,longitude_of_central_meridian,semi_major_axis,spatial_ref)",science/LSAR/GUNW/grids/frequencyA/wrappedInterferogram/HH/wrappedInterferogram: median stored chunk 0.009 MB in 1056 chunks — latency-bound,"time variable ""science/lsar/gunw/metadata/attitude/reference/time"" but no time dimension",,"track 036 ascending, frame 163, across cycle pairs",,,4,4,4,
B,NISAR/L-SAR,NISAR_L3_SME2_PROVISIONAL_V1,L3,HDF5+XML+YAML,ASF,us-west-2,yes,yes,yes,no,512×512,0.007,76624,8.436,no,T: no time dimension; P-sz: science/LSAR/SME2/grids/algorithmCandidates/DSG/algorithmParameterBeta: median stored chunk 0.007 MB in 16 chunks — latency-bound,yes,yes,yes,science/LSAR/SME2/grids/algorithmCandidates/DSG/algorithmParameterBeta,43,43,one chunk shape per variable across 43 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 2 blocks in 2 runs, 100% leading","shared grid attributes (false_easting,false_northing,grid_mapping,grid_mapping_name,inverse_flattening,latitude_of_projection_origin,longitude_of_central_meridian,semi_major_axis,spatial_ref,standard_parallel)",science/LSAR/SME2/grids/algorithmCandidates/DSG/algorithmParameterBeta: median stored chunk 0.007 MB in 16 chunks — latency-bound,no time dimension,"F, N, P","track 004 ascending, frame 018, DHDH polarization","the mode and frame-coverage flags differ between acquisitions of one frame, which the fixed frame grid absorbs; the frame itself is pinned",,4,4,4,
B,PACE/OCI,PACE_OCI_L3M_BGC,L3,netCDF-4,NASA/GSFC/SED/ESD/GCDC/OB.DAAC,us-west-2,partial,yes,yes,no,16×1024,0.003,2000,0.082,no,T: no time dimension; P-sz: carbon_phyto: median stored chunk 0.003 MB in 2430 chunks — latency-bound,yes,yes,yes,carbon_phyto,4,4,one chunk shape per variable across 4 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 40 blocks in 1 runs, 3% leading",identical grid across granules — measured lat/lon on 2 granules; step -0.041664,carbon_phyto: median stored chunk 0.003 MB in 2430 chunks — latency-bound,no time dimension,,daily composite at 4 km,,,4,4,4,
B,SMAP/L-band radiometer,SMAP_JPL_L3_SSS_CAP_MONTHLY_V5,L3,netCDF-4,NASA/JPL/PODAAC,us-west-2,partial,yes,yes,partial,720×1440,1.115,135,0.001,yes,"T: ""time"" is a time coordinate, but no data array is laid out on it, so a time axis has to be added when the store is built",yes,yes,yes,anc_sss,9,9,one chunk shape per variable across 9 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 10 blocks in 2 runs, 11% leading",identical grid across granules — measured latitude/longitude on 2 granules; step -0.25,anc_sss: median stored chunk 1.115 MB in 1 chunks,"""time"" is a time coordinate, but no data array is laid out on it, so a time axis has to be added when the store is built",,,,,4,4,4,
B,SMAP/L-band radiometer,SPL3SMP,L3,HDF5,NASA NSIDC DAAC,us-west-2,partial,—,—,partial,1×964×3,0.001,4108,0.13,yes,"G: no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent; T: time variable ""soil_moisture_retrieval_data_am/tb_time_seconds"" but no time dimension; P-sz: Soil_Moisture_Retrieval_Data_AM/landcover_class_fraction: median stored chunk 0.001 MB in 406 chunks — latency-bound",yes,yes,yes,Soil_Moisture_Retrieval_Data_AM/landcover_class_fraction,102,102,one chunk shape per variable across 102 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 30 blocks in 1 runs, 3% leading","no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent",Soil_Moisture_Retrieval_Data_AM/landcover_class_fraction: median stored chunk 0.001 MB in 406 chunks — latency-bound,"time variable ""soil_moisture_retrieval_data_am/tb_time_seconds"" but no time dimension",,,,,4,4,4,
B,SMAP/L-band radiometer,SPL4SMGP,L4,HDF5,NASA NSIDC DAAC,us-west-2,no,yes,yes,partial,1624×3856,1.455,33528,4.968,yes,"T: time variable ""time"" but no time dimension; P-md: median 32 blocks in 28 runs, 9% leading",yes,yes,yes,Geophysical_Data/baseflow_flux,45,45,one chunk shape per variable across 45 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 32 blocks in 28 runs, 9% leading",identical grid across granules — measured x/y on 2 granules; step -9008.055664,Geophysical_Data/baseflow_flux: median stored chunk 1.455 MB in 1 chunks,"time variable ""time"" but no time dimension","Vv8010, Vv8011",,"the two processing versions are both part of the record, and whether a cube spans a version change is the question rather than a nuisance to remove",,4,4,4,
B,SWOT/KaRIn,SWOT_L2_HR_Raster_2.0,L2,netCDF-4,NASA/JPL/PODAAC,us-west-2,no,yes,yes,partial,518×518,0.281,1556453,78.075,no,"T: time variable ""illumination_time"" but no time dimension; P-md: median 32 blocks in 16 runs, 3% leading",yes,yes,yes,illumination_time,36,36,one chunk shape per variable across 36 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 32 blocks in 16 runs, 3% leading",identical grid across granules — measured x/y on 2 granules; step 100.0,illumination_time: median stored chunk 0.281 MB in 9 chunks,"time variable ""illumination_time"" but no time dimension",,"100 m raster, UTM zone 10T, pass 013, scene 114F — a calibration-orbit scene, so the sample covers 2023 alone",,,4,4,4,
B,Sentinel-1/C-SAR (OPERA),OPERA_L2_RTC-S1_V1,L2,GeoTIFF+HDF5+XML,ASF,us-west-2,yes,yes,yes,no,512×512,0.044,74657047,508.18,no,T: file declares no dimension names; P-sz: band: median stored chunk 0.044 MB in 28 chunks — latency-bound,yes,yes,yes,band,1,1,one chunk shape per variable across 1 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading","one origin in EPSG:32616, 30 m pixel",band: median stored chunk 0.044 MB in 28 chunks — latency-bound,file declares no dimension names,"S1A, S1C","track 063, burst 133239, subswath IW1","a burst is imaged by whichever Sentinel-1 satellite is overhead, so the platform changes within one cube by construction",,4,4,4,
